track_id,track_name,duration_ms,popularity,album_id,is_collab
4xMDmkxaVCLAEoeyo6gwGB,Melamun - Alternate,208715,4,66rw60NrIZyYSw2IbfZWDx,False
4XHijJfABTtUCW3Bp6KFvr,Tarot,288981,84,0y9i2KHDYh2gKfbpUNiM86,False
278PwGlIm7MxVTZud18Rx4,mejikuhibiniu,196477,82,1DZHkeHPjLkuclwTVtjIOK,True
6mYhcBROW9TWGcaur1zmOG,Biasa Saja,236560,6,1HjNwurDv4fn7sCLAhVpaT,False
5EWyweCJ5igLl6bjbGRmGm,Calon Mantu Idaman (feat. Ncum),189230,81,4n4ZdQUXAs9BevRhBHtGdr,True
43dBaTfvA9Xltgkr5E2VBI,Rooftop,242000,21,2Xpll4oG2UqKeDuNJshrDU,False
2RRok6hRdQnkHbsWoLqstD,"Jangan Tanya, Tunggu Saja",176964,5,0YMusz6pxMr1gxVEs5kKYC,False
1zu5ZpnrSArdoaT6Qq3yo9,Monolog,207216,84,6CYiVTU1drHMvGHgMHmLQZ,False
31CsSZ9KlQmEu0JvWSkM3j,Deslocado,179996,80,70Bn4uvWtXrBKlbttB822R,False
2QWin1zM9hxG9zsApuIvso,Young Black & Rich,155040,78,4So2lxknlUUwSVMaPuU1XV,False
02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,150686,96,14JkAa6IiFaOh5s0nMyMU9,True
7yHRmaBkHKXKJmS1xMzicZ,Punkrocker (feat. Iggy Pop) - As featured in Superman,246786,76,4MHVx1PFPrYUzO0zbh95Q0,True
5H1sKFMzDeMtXwND3V6hRY,JUMP,164718,94,3hzoZlx2KwtvJEUl9piPWr,False
49XXrWxrmBU34mNMpxsSfG,Pancarona,261379,69,5dy5oRsWeCss5AvbWcJqr0,False
5DxDLsW6PsLz5gkwC7Mk5S,Free,187963,94,14JkAa6IiFaOh5s0nMyMU9,True
7rcbwjIaZ5jEgyFk35Bqfj,DAISIES,176453,78,6ZXIXOT3F3ixjH66eqJl0S,False
5rhwXZP0luMucnEPnYJpbI,Kasih Aba Aba,176608,82,7epsFufhjXWBTRp8i4IkmM,True
6vPs2QpyHKvYJ9Bq7CQaUu,Menunggumu Sampai Akhir Hidup,251298,61,2GtB6vMtpUwsQ2yqiandyJ,False
1I37Zz2g3hk9eWxaNkj031,Your Idol,191537,96,14JkAa6IiFaOh5s0nMyMU9,True
2InRcPbunlEjQ6sGyGIjxV,Kusuma Wijaya,265486,60,1tOARzkD1moNEKrqve9Kjn,False
6cebiKUXkoLYlaxzDfEPtS,Gaze,309293,57,2nftdSlqgiJ2lN8hu3dCEr,False
4gngdFoZ9jGJcHAlbjWmIZ,Looking for Love in Wrong Places,245421,51,1KN2KKeuWwdkimahJ0lmFp,False
1D35BJlymlh6OLD75WupSF,"Saiyaara (From ""Saiyaara"")",370875,89,3ETAyPs1TjEcYIpCbYwEbk,True
7ih7pYSRZgWCTXuOmrnXjX,Dame Un Grrr,133220,79,1QJWpxXcEr1AH3BLeI0s65,True
40UVUuyy5RfpO0awclCttA,FAMOUS,180353,78,7rgnZ9iX2S9HFHmkFmSwW7,False
0FTmksd2dxiE5e3rWyJXs6,back to friends,199032,96,0QLILSOq1IqAqx62drmv4E,False
56DxR1jHbX6xlGwZdUuN0v,Reason To Stay,198813,70,7ooSA4xT6dVvDN8j8AeaH0,False
6wOYPDDG3gYhZCy4SNCFuF,We Always Together,251605,49,2CpRKQIcqQkb7fspvfYbOm,True
4e6TmHCC4PRUj75knNplNP,Mangu,261048,80,6XVW3zoK1nmskW7drvHy9h,True
2NOMOpss7BmEXTL9f1koqn,WICKED,157191,74,7rgnZ9iX2S9HFHmkFmSwW7,False
3AkWSyWgDGpoN39DvLp0YA,Forbidden Fruit,225017,65,6GClbRFIZef2HEsqxkYFee,True
6BQiGGlPp294KMLYQMmS0C,You'll Find Lovers Like You and Me,209536,57,7Fqm1j72ZIaBOazURTNRAj,False
5sBDrrtLGbV64QJnEqfjer,What It Sounds Like,250268,94,14JkAa6IiFaOh5s0nMyMU9,True
66bAuBggOmZ4YDgqlWk8Fo,Sebatas Mimpi,218240,66,7i0hFkyqprLGxZu5uVGEnY,True
19KgCUi8VGTNnmT4kAUqaa,Aku Bisa,330981,61,7mnmJlDa4dyt7L7SQw7zXX,True
3RXUgPNIbUgFxsDWuBQEt6,How It’s Done,176059,95,14JkAa6IiFaOh5s0nMyMU9,True
3598iBWrS4JhJqP5tHlpVK,THIS IS FOR,131097,83,02dUOPB3MtmV5fawzaZiq6,False
5upAkHGjeDlEQLP20QmKM6,Hari Yang Mantap,230438,53,2CpRKQIcqQkb7fspvfYbOm,True
0MHStU0muAIEMbwdnebYu2,Takedown,182016,94,14JkAa6IiFaOh5s0nMyMU9,True
1lpXnyjEKDzExVyVS1AT1Q,shoot,214300,64,7C3cWsNbYPO76a5qIq8fPM,False
4HZ4tasa7sislo5BbOOBfm,Pikiran Yang Matang,192666,64,2gdKHKZfqOqGCwJiyEe2K8,False
1xOqGUkyxGQRdCvGpvWKmL,Gabriela,197226,92,6rpin9IVOuBEWBYnrA9hft,False
